artist,artist_id,album,track,minutes,release_date,popularity
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),Maggie Mae / Fancy My Chances With You - Mono,0.9733333333333334,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),Can You Dig It?,2.0393333333333334,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),I Don't Know Why I'm Moaning - Speech / Mono,1.3668833333333332,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),For You Blue - Take 4,2.882433333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),Let It Be / Please Please Me / Let It Be - Take 10,4.544666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),I’ve Got A Feeling - Take 10,3.628,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Let It Be (Super Deluxe),Dig A Pony - Take 14,4.024,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Come Together - 2019 Mix,4.336666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Something - 2019 Mix,3.0371,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Maxwell's Silver Hammer - 2019 Mix,3.4662166666666665,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Oh! Darling - 2019 Mix,3.4524333333333335,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Octopus's Garden - 2019 Mix,2.8466666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),I Want You (She's So Heavy) - 2019 Mix,7.789333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Here Comes The Sun - 2019 Mix,3.0951,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Because - 2019 Mix,2.7602166666666665,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),You Never Give Me Your Money - 2019 Mix,4.044433333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Sun King - 2019 Mix,2.4388833333333335,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Mean Mr Mustard - 2019 Mix,1.1077666666666666,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Polythene Pam - 2019 Mix,1.2133333333333334,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),She Came In Through The Bathroom Window - 2019 Mix,1.9802166666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Golden Slumbers - 2019 Mix,1.524,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Carry That Weight - 2019 Mix,1.6073333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),The End - 2019 Mix,2.3651,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Her Majesty - 2019 Mix,0.4186666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),I Want You (She's So Heavy) - Trident Recording Session & Reduction Mix,6.993333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Goodbye - Home Demo,2.3951,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Super Deluxe Edition),Something - Studio Demo,3.620433333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Back In The U.S.S.R. - 2018 Mix,2.7244333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Dear Prudence - 2018 Mix,3.9162166666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Glass Onion - 2018 Mix,2.2951,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"Ob-La-Di, Ob-La-Da - 2018 Mix",3.1468833333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Wild Honey Pie - 2018 Mix,0.8833333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,The Continuing Story Of Bungalow Bill - 2018 Mix,3.2364333333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,While My Guitar Gently Weeps - 2018 Mix,4.754666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Happiness Is A Warm Gun - 2018 Mix,2.742,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Martha My Dear - 2018 Mix,2.474666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,I'm So Tired - 2018 Mix,2.0566666666666666,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Blackbird - 2018 Mix,2.306,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Piggies - 2018 Mix,2.0717666666666665,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Rocky Raccoon - 2018 Mix,3.5513333333333335,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Don't Pass Me By - 2018 Mix,3.838433333333333,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Why Don't We Do It In The Road? - 2018 Mix,1.69555,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,I Will - 2018 Mix,1.7631,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Julia - 2018 Mix,2.93555,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Birthday - 2018 Mix,2.6997666666666666,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Yer Blues - 2018 Mix,4.016666666666667,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,Mother Nature's Son - 2018 Mix,2.7971,N/A,0
Beatles,3WrFJ7ztbogyGnTHbHJFl2,Live At The Hollywood Bowl,Twist And Shout - Live / Remastered,1.5584333333333333,N/A,0
